Account_Number,Balance
7387323232,79303
7387323233,43102
7387323234,97010
7387323235,22894
7387323236,67274
7387323237,65074
7387323238,84992
7387323239,32489
7387323240,67660
7387323241,11221
7387323242,26636
7387323243,78490
7387323244,81622
7387323245,68037
7387323246,10469
7387323247,68564
7387323248,13559
7387323249,61421
7387323250,79772
7387323251,40523
7387323252,17322
7387323253,89404
7387323254,36868
7387323255,74740
7387323256,15640
7387323257,99038
7387323258,8477
7387323259,6458
7387323260,26891
7387323261,86765
7387323262,54763
7387323263,91744
7387323264,14133
7387323265,57772
7387323266,9974
7387323267,99956
7387323268,29237
7387323269,42829
7387323270,45156
7387323271,61491
7387323272,4843
7387323273,47748
7387323274,58391
7387323275,8151
7387323276,63188
7387323277,939
7387323278,12287
7387323279,33768
7387323280,85221
7387323281,81372
7387323282,53135
7387323283,87438
7387323284,55149
7387323285,59207
7387323286,73496
7387323287,15341
7387323288,48324
7387323289,14076
7387323290,31272
7387323291,86043
7387323292,13067
7387323293,63838
7387323294,14489
7387323295,73457
7387323296,6634
7387323297,29361
7387323298,16900
7387323299,42144
7387323300,20866
7387323301,86186
7387323302,93994
7387323303,52421
7387323304,55251
7387323305,63083
7387323306,42524
7387323307,43310
7387323308,77847
7387323309,51357
7387323310,31499
7387323311,25070
7387323312,80841
7387323313,81592
7387323314,83356
7387323315,51198
7387323316,96476
7387323317,54674
7387323318,83709
7387323319,23206
7387323320,58816
7387323321,69290
7387323322,52630
7387323323,94631
7387323324,84782
7387323325,48254
7387323326,8660
7387323327,33965
7387323328,1366
7387323329,62963
7387323330,36956
7387323331,48799
7387323332,32183
7387323333,47825
7387323334,80194
7387323335,67828
7387323336,12640
7387323337,21014
7387323338,37667
7387323339,35413
7387323340,44355
7387323341,67560
7387323342,18194
7387323343,87813
7387323344,42686
7387323345,45677
7387323346,27444
7387323347,28702
7387323348,11143
7387323349,58900
7387323350,48889
7387323351,44342
7387323352,88887
7387323353,70748
7387323354,9455
7387323355,88300
7387323356,71818
7387323357,64991
7387323358,86680
7387323359,86484
7387323360,92829
7387323361,33765
7387323362,46746
7387323363,62247
7387323364,58372
7387323365,70437
7387323366,4635
7387323367,21848
7387323368,34091
7387323369,59929
7387323370,35736
7387323371,68084
7387323372,76781
7387323373,68327
7387323374,79593
7387323375,53241
7387323376,91253
7387323377,5805
7387323378,75999
7387323379,19776
7387323380,78241
7387323381,33332
7387323382,70950
7387323383,84536
7387323384,51926
7387323385,62733
7387323386,47080
7387323387,90332
7387323388,62047
7387323389,68893
7387323390,90230
7387323391,11227
7387323392,10207
7387323393,78982
7387323394,42608
7387323395,55810
7387323396,58574
7387323397,36254
7387323398,55794
7387323399,68490
7387323400,66060
7387323401,87940
7387323402,2490
7387323403,13058
7387323404,93129
7387323405,45936
7387323406,44752
7387323407,80345
7387323408,18210
7387323409,42657
7387323410,70119
7387323411,44019
7387323412,96183
7387323413,45037
7387323414,28888
7387323415,68394
7387323416,55460
7387323417,58168
7387323418,68943
7387323419,11198
7387323420,29367
7387323421,88502
7387323422,2161
7387323423,40079
7387323424,48288
7387323425,26496
7387323426,21438
7387323427,34473
7387323428,44992
7387323429,10959
7387323430,68609
7387323431,64157
7387323432,34033
7387323433,30598
7387323434,68845
7387323435,48486
7387323436,70841
7387323437,73027
7387323438,28456
7387323439,16477
7387323440,78902
7387323441,19993
7387323442,52368
7387323443,19183
7387323444,9039
7387323445,78099
7387323446,29350
7387323447,42214
7387323448,45215
7387323449,20923
7387323450,28893
7387323451,91576
7387323452,69054
7387323453,54690
7387323454,42286
7387323455,38041
7387323456,12507
7387323457,69292
7387323458,47917
7387323459,98288
7387323460,99615
7387323461,7229
7387323462,45782
7387323463,25160
7387323464,42386
7387323465,44772
7387323466,88079
7387323467,72363
7387323468,7422
7387323469,34797
7387323470,37348
7387323471,34339
7387323472,80803
7387323473,75456
7387323474,8157
7387323475,12821
7387323476,7342
7387323477,8820
7387323478,24043
7387323479,8696
7387323480,36628
7387323481,48538
7387323482,22608
7387323483,6262
7387323484,92358
7387323485,31702
7387323486,3131
7387323487,4076
7387323488,62406
7387323489,51868
7387323490,27814
7387323491,79532
7387323492,87951
7387323493,28219
7387323494,61203
7387323495,98663
7387323496,30725
7387323497,62998
7387323498,95656
7387323499,50678
7387323500,50637
7387323501,31920
7387323502,28402
7387323503,29680
7387323504,42980
7387323505,53235
7387323506,89364
7387323507,60412
7387323508,55519
7387323509,6828
7387323510,10057
7387323511,74488
7387323512,94905
7387323513,93082
7387323514,50742
7387323515,48132
7387323516,21371
7387323517,66735
7387323518,3104
7387323519,56849
7387323520,92608
7387323521,70921
7387323522,68233
7387323523,26081
7387323524,6522
7387323525,29498
7387323526,26893
7387323527,51744
7387323528,13207
7387323529,26497
7387323530,55870
7387323531,38315
7387323532,34931
7387323533,33316
7387323534,52728
7387323535,59005
7387323536,81688
7387323537,7801
7387323538,48036
7387323539,22405
7387323540,59232
7387323541,89837
7387323542,28878
7387323543,91942
7387323544,21479
7387323545,33157
7387323546,23118
7387323547,90638
7387323548,55498
7387323549,53612
7387323550,46926
7387323551,80993
7387323552,43227
7387323553,6766
7387323554,93944
7387323555,52657
7387323556,28785
7387323557,15341
7387323558,16674
7387323559,81193
7387323560,76252
7387323561,54069
7387323562,5226
7387323563,62362
7387323564,48285
7387323565,5587
7387323566,83795
7387323567,751
7387323568,69168
7387323569,31539
7387323570,37031
7387323571,74726
7387323572,59134
7387323573,47720
7387323574,92913
7387323575,679
7387323576,6925
7387323577,72802
7387323578,42433
7387323579,80207
7387323580,56706
7387323581,29894
7387323582,14441
7387323583,57818
7387323584,81140
7387323585,73968
7387323586,25235
7387323587,9010
7387323588,26882
7387323589,76053
7387323590,8092
7387323591,45730
7387323592,5367
7387323593,77599
7387323594,34944
7387323595,78111
7387323596,74953
7387323597,85408
7387323598,51421
7387323599,80038
7387323600,21211
7387323601,59064
7387323602,43301
7387323603,41602
7387323604,95410
7387323605,14673
7387323606,36328
7387323607,6840
7387323608,32232
7387323609,8340
7387323610,89473
7387323611,80283
7387323612,46896
7387323613,47772
7387323614,56182
7387323615,91151
7387323616,60365
7387323617,99017
7387323618,35870
7387323619,90620
7387323620,42256
7387323621,56385
7387323622,12636
7387323623,58670
7387323624,63297
7387323625,16572
7387323626,52481
7387323627,92989
7387323628,75341
7387323629,2297
7387323630,47350
7387323631,30482
7387323632,98132
7387323633,75761
7387323634,81564
7387323635,87266
7387323636,1666
7387323637,35018
7387323638,62393
7387323639,69998
7387323640,91113
7387323641,97469
7387323642,84345
7387323643,49441
7387323644,70404
7387323645,18131
7387323646,11468
7387323647,14848
7387323648,17074
7387323649,982
7387323650,74628
7387323651,7666
7387323652,95034
7387323653,9808
7387323654,44919
7387323655,4996
7387323656,54885
7387323657,10217
7387323658,23048
7387323659,34607
7387323660,50033
7387323661,41
7387323662,684
7387323663,17420
7387323664,68519
7387323665,87809
7387323666,88322
7387323667,48983
7387323668,71673
7387323669,80841
7387323670,28498
7387323671,27634
7387323672,80113
7387323673,21185
7387323674,51244
7387323675,82207
7387323676,47640
7387323677,56185
7387323678,98358
7387323679,91354
7387323680,66996
7387323681,36502
7387323682,27990
7387323683,52545
7387323684,99896
7387323685,82379
7387323686,26598
7387323687,2174
7387323688,70512
7387323689,77375
7387323690,56539
7387323691,16181
7387323692,62840
7387323693,28895
7387323694,36958
7387323695,10418
7387323696,52428
7387323697,84565
7387323698,3969
7387323699,5327
7387323700,5222
7387323701,68730
7387323702,23558
7387323703,92192
7387323704,73324
7387323705,86323
7387323706,33754
7387323707,4246
7387323708,38901
7387323709,44645
7387323710,53984
7387323711,59782
7387323712,56981
7387323713,20126
7387323714,80453
7387323715,52007
7387323716,20149
7387323717,32165
7387323718,68460
7387323719,91755
7387323720,25870
7387323721,76786
7387323722,3098
7387323723,95711
7387323724,48245
7387323725,58667
7387323726,88215
7387323727,27459
7387323728,27597
7387323729,71272
7387323730,20766
7387323731,41778
7387323732,24512
7387323733,91851
7387323734,72389
7387323735,44305
7387323736,61750
7387323737,81733
7387323738,15460
7387323739,10842
7387323740,61245
7387323741,15838
7387323742,31203
7387323743,90290
7387323744,24564
7387323745,74009
7387323746,82782
7387323747,11895
7387323748,34906
7387323749,28983
7387323750,23502
7387323751,52092
7387323752,15474
7387323753,87431
7387323754,77645
7387323755,32549
7387323756,94575
7387323757,29501
7387323758,83303
7387323759,22500
7387323760,12871
7387323761,80086
7387323762,85778
7387323763,45133
7387323764,75497
7387323765,91466
7387323766,97648
7387323767,20431
7387323768,67740
7387323769,41302
7387323770,83290
7387323771,16526
7387323772,96388
7387323773,65691
7387323774,21780
7387323775,87575
7387323776,27685
7387323777,92487
7387323778,99301
7387323779,13134
7387323780,55763
7387323781,48343
7387323782,69761
7387323783,1429
7387323784,64114
7387323785,44848
7387323786,90518
7387323787,35420
7387323788,3950
7387323789,10544
7387323790,2905
7387323791,49855
7387323792,18624
7387323793,40970
7387323794,52389
7387323795,11474
7387323796,72019
7387323797,79353
7387323798,81367
7387323799,31105
7387323800,97933
7387323801,3210
7387323802,41875
7387323803,49460
7387323804,14374
7387323805,95130
7387323806,82110
7387323807,3892
7387323808,96935
7387323809,33343
7387323810,46876
7387323811,47911
7387323812,79706
7387323813,88854
7387323814,32922
7387323815,83436
7387323816,50434
7387323817,80735
7387323818,59298
7387323819,51667
7387323820,75717
7387323821,95941
7387323822,33450
7387323823,42612
7387323824,53902
7387323825,41236
7387323826,11963
7387323827,94612
7387323828,79309
7387323829,86978
7387323830,20354
7387323831,70084
7387323832,89806
7387323833,17799
7387323834,4948
7387323835,73724
7387323836,47668
7387323837,19282
7387323838,31744
7387323839,36251
7387323840,40084
7387323841,523
7387323842,71289
7387323843,41814
7387323844,1077
7387323845,87016
7387323846,12250
7387323847,97118
7387323848,5538
7387323849,35262
7387323850,49154
7387323851,67162
7387323852,64968
7387323853,64271
7387323854,74313
7387323855,33842
7387323856,69142
7387323857,41644
7387323858,2832
7387323859,69406
7387323860,43501
7387323861,5408
7387323862,16752
7387323863,5010
7387323864,65342
7387323865,32198
7387323866,66341
7387323867,44660
7387323868,21466
7387323869,38446
7387323870,162
7387323871,75822
7387323872,40303
7387323873,40476
7387323874,13376
7387323875,95808
7387323876,78573
7387323877,1903
7387323878,4735
7387323879,42815
7387323880,9224
7387323881,80439
7387323882,13205
7387323883,7401
7387323884,27610
7387323885,4107
7387323886,83619
7387323887,74160
7387323888,8474
7387323889,86672
7387323890,49949
7387323891,47312
7387323892,39529
7387323893,37169
7387323894,6454
7387323895,87378
7387323896,57238
7387323897,44597
7387323898,86957
7387323899,31504
7387323900,33423
7387323901,80803
7387323902,32235
7387323903,13687
7387323904,73850
7387323905,49439
7387323906,25270
7387323907,70645
7387323908,70607
7387323909,81070
7387323910,25091
7387323911,93535
7387323912,83265
7387323913,30717
7387323914,67303
7387323915,99188
7387323916,80023
7387323917,91849
7387323918,65733
7387323919,61101
7387323920,92665
7387323921,29199
7387323922,45763
7387323923,3437
7387323924,26387
7387323925,10942
7387323926,67708
7387323927,78864
7387323928,14058
7387323929,14529
7387323930,4462
7387323931,31169
7387323932,63703
7387323933,24860
7387323934,35781
7387323935,76207
7387323936,8882
7387323937,84371
7387323938,14619
7387323939,89866
7387323940,17604
7387323941,32237
7387323942,68547
7387323943,63078
7387323944,28671
7387323945,25705
7387323946,64799
7387323947,30267
7387323948,44700
7387323949,46881
7387323950,89910
7387323951,5141
7387323952,42437
7387323953,90211
7387323954,34500
7387323955,44666
7387323956,18637
7387323957,23238
7387323958,46357
7387323959,48462
7387323960,65246
7387323961,82920
7387323962,74123
7387323963,75301
7387323964,10508
7387323965,58767
7387323966,84747
7387323967,80471
7387323968,30223
7387323969,60165
7387323970,83303
7387323971,18657
7387323972,72666
7387323973,48875
7387323974,58928
7387323975,33567
7387323976,22750
7387323977,83762
7387323978,41459
7387323979,32640
7387323980,27165
7387323981,96033
7387323982,32452
7387323983,9425
7387323984,21966
7387323985,35678
7387323986,18772
7387323987,91282
7387323988,45017
7387323989,64778
7387323990,79759
7387323991,14838
7387323992,46877
7387323993,87990
7387323994,83407
7387323995,79035
7387323996,62563
7387323997,74726
7387323998,27418
7387323999,87980
7387324000,46096
7387324001,30981
7387324002,63504
7387324003,8373
7387324004,79379
7387324005,79329
7387324006,43723
7387324007,94575
7387324008,91426
7387324009,64626
7387324010,88924
7387324011,89391
7387324012,29954
7387324013,97490
7387324014,41415
7387324015,80265
7387324016,38154
7387324017,3993
7387324018,49322
7387324019,99281
7387324020,12990
7387324021,41344
7387324022,48935
7387324023,96055
7387324024,95205
7387324025,847
7387324026,52718
7387324027,17600
7387324028,46241
7387324029,13758
7387324030,67413
7387324031,37623
7387324032,44850
7387324033,56867
7387324034,2698
7387324035,15924
7387324036,3443
7387324037,28996
7387324038,81684
7387324039,9913
7387324040,14663
7387324041,55015
7387324042,47542
7387324043,2373
7387324044,33104
7387324045,89673
7387324046,73674
7387324047,48001
7387324048,46228
7387324049,60525
7387324050,88015
7387324051,63446
7387324052,99628
7387324053,32235
7387324054,18985
7387324055,49435
7387324056,28428
7387324057,62693
7387324058,18241
7387324059,91836
7387324060,99093
7387324061,69120
7387324062,22059
7387324063,50749
7387324064,52609
7387324065,87431
7387324066,57460
7387324067,94422
7387324068,88822
7387324069,35239
7387324070,2369
7387324071,78225
7387324072,84098
7387324073,84885
7387324074,38626
7387324075,34989
7387324076,84464
7387324077,2059
7387324078,9441
7387324079,88136
7387324080,29833
7387324081,64614
7387324082,87674
7387324083,52925
7387324084,52683
7387324085,17712
7387324086,85208
7387324087,35287
7387324088,5673
7387324089,66929
7387324090,67714
7387324091,10316
7387324092,7021
7387324093,24559
7387324094,86425
7387324095,4014
7387324096,5568
7387324097,7743
7387324098,14876
7387324099,7456
7387324100,4495
7387324101,17716
7387324102,73591
7387324103,17073
7387324104,66107
7387324105,82368
7387324106,35652
7387324107,89453
7387324108,6248
7387324109,12351
7387324110,13225
7387324111,28694
7387324112,87502
7387324113,22394
7387324114,18698
7387324115,6467
7387324116,29816
7387324117,71331
7387324118,73655
7387324119,94127
7387324120,90810
7387324121,300
7387324122,23124
7387324123,6463
7387324124,88607
7387324125,97614
7387324126,33619
7387324127,28388
7387324128,76561
7387324129,5626
7387324130,84516
7387324131,89824
7387324132,72615
7387324133,10617
7387324134,68058
7387324135,1573
7387324136,26004
7387324137,59504
7387324138,87295
7387324139,13207
7387324140,48086
7387324141,26833
7387324142,31616
7387324143,73066
7387324144,22202
7387324145,54554
7387324146,6716
7387324147,43727
7387324148,44012
7387324149,66707
7387324150,88915
7387324151,2162
7387324152,56929
7387324153,33483
7387324154,19088
7387324155,82141
7387324156,99539
7387324157,61479
7387324158,79272
7387324159,19062
7387324160,14454
7387324161,75962
7387324162,65013
7387324163,37810
7387324164,35339
7387324165,93433
7387324166,56925
7387324167,22669
7387324168,41612
7387324169,55138
7387324170,4672
7387324171,4016
7387324172,67748
7387324173,11255
7387324174,94601
7387324175,59326
7387324176,57878
7387324177,97044
7387324178,90026
7387324179,70290
7387324180,76050
7387324181,87530
7387324182,10303
7387324183,66462
7387324184,98627
7387324185,735
7387324186,61737
7387324187,98365
7387324188,79585
7387324189,52929
7387324190,59229
7387324191,8528
7387324192,1968
7387324193,71712
7387324194,92055
7387324195,99852
7387324196,60012
7387324197,88100
7387324198,81027
7387324199,31251
7387324200,90360
7387324201,8972
7387324202,19181
7387324203,37791
7387324204,69228
7387324205,55364
7387324206,46631
7387324207,62237
7387324208,72426
7387324209,25807
7387324210,44165
7387324211,51795
7387324212,3947
7387324213,4710
7387324214,23629
7387324215,23931
7387324216,74230
7387324217,4733
7387324218,49442
7387324219,51752
7387324220,92851
7387324221,17908
7387324222,6538
7387324223,62804
7387324224,5246
7387324225,96501
7387324226,68036
7387324227,50246
7387324228,45768
7387324229,77421
7387324230,1292
7387324231,67954
7387324232,80667
7387324233,92424
7387324234,69514
7387324235,2319
7387324236,61130
7387324237,78976
7387324238,64611
7387324239,94764
7387324240,40970
7387324241,49855
7387324242,85994
7387324243,46088
7387324244,37427
7387324245,86912
7387324246,14918
7387324247,79166
7387324248,83300
7387324249,66053
7387324250,99825
7387324251,44656
7387324252,11574
7387324253,62273
7387324254,72143
7387324255,53368
7387324256,21580
7387324257,12208
7387324258,78284
7387324259,55845
7387324260,35452
7387324261,56888
7387324262,75760
7387324263,2111
7387324264,26775
7387324265,85221
7387324266,3995
7387324267,92850
7387324268,91235
7387324269,19803
7387324270,35660
7387324271,10402
7387324272,3074
7387324273,83615
7387324274,15470
7387324275,64219
7387324276,58778
7387324277,74793
7387324278,63687
7387324279,60395
7387324280,77407
7387324281,27891
7387324282,86582
7387324283,20375
7387324284,86510
7387324285,17440
7387324286,69234
7387324287,97745
7387324288,51189
7387324289,48185
7387324290,67607
7387324291,75223
7387324292,42198
7387324293,13078
7387324294,27870
7387324295,52897
7387324296,65165
7387324297,72617
7387324298,20186
7387324299,74764
7387324300,91214
7387324301,11002
7387324302,87976
7387324303,81096
7387324304,53919
7387324305,74850
7387324306,91956
7387324307,85631
7387324308,12903
7387324309,16004
7387324310,56069
7387324311,35277
7387324312,39302
7387324313,555
7387324314,9256
7387324315,82115
7387324316,21711
7387324317,91342
7387324318,41073
7387324319,80603
7387324320,74071
7387324321,22991
7387324322,52837
7387324323,1225
7387324324,49249
7387324325,99742
7387324326,76912
7387324327,41040
7387324328,84621
7387324329,19873
7387324330,58865
7387324331,60311
7387324332,15068
7387324333,29681
7387324334,74194
7387324335,30179
7387324336,75123
7387324337,64285
7387324338,16860
7387324339,81789
7387324340,20348
7387324341,61164
7387324342,35206
7387324343,94757
7387324344,41992
7387324345,37812
7387324346,97999
7387324347,30341
7387324348,86364
7387324349,52921
7387324350,48780
7387324351,8199
7387324352,3419
7387324353,89621
7387324354,85911
7387324355,50426
7387324356,47830
7387324357,98173
7387324358,84720
7387324359,391
7387324360,3439
7387324361,75471
7387324362,54115
7387324363,55170
7387324364,88786
7387324365,34738
7387324366,7682
7387324367,68792
7387324368,57965
7387324369,34753
7387324370,36559
7387324371,23923
7387324372,2855
7387324373,93805
7387324374,57414
7387324375,29146
7387324376,84498
7387324377,63930
7387324378,12162
7387324379,55842
7387324380,37296
7387324381,94060
7387324382,68803
7387324383,43804
7387324384,35567
7387324385,54716
7387324386,25267
7387324387,84641
7387324388,89521
7387324389,57427
7387324390,18818
7387324391,10788
7387324392,28316
7387324393,57535
7387324394,11260
7387324395,37336
7387324396,40071
7387324397,13624
7387324398,22488
7387324399,84502
7387324400,30631
7387324401,5560
7387324402,97185
7387324403,10839
7387324404,31497
7387324405,97444
7387324406,47540
7387324407,19016
7387324408,63436
7387324409,10047
7387324410,15661
7387324411,29910
7387324412,650
7387324413,14409
7387324414,81342
7387324415,66767
7387324416,26763
7387324417,2562
7387324418,22339
7387324419,68541
7387324420,9099
7387324421,13275
7387324422,95867
7387324423,85455
7387324424,19626
7387324425,73809
7387324426,47730
7387324427,45740
7387324428,64158
7387324429,17137
7387324430,24711
7387324431,35391
7387324432,91380
7387324433,27052
7387324434,88057
7387324435,30326
7387324436,73750
7387324437,47584
7387324438,87858
7387324439,99716
7387324440,18062
7387324441,55375
7387324442,79868
7387324443,97531
7387324444,97277
7387324445,2835
7387324446,6748
7387324447,15340
7387324448,4703
7387324449,83992
7387324450,26280
7387324451,6107
7387324452,18456
7387324453,63749
7387324454,83036
7387324455,76841
7387324456,95941
7387324457,45937
7387324458,23647
7387324459,70566
7387324460,13711
7387324461,34021
7387324462,55559
7387324463,64264
7387324464,33844
7387324465,45660
7387324466,40957
7387324467,50878
7387324468,9872
7387324469,12308
7387324470,88192
7387324471,89576
7387324472,18500
7387324473,40460
7387324474,44324
7387324475,2952
7387324476,69630
7387324477,96228
7387324478,15216
7387324479,82237
7387324480,10797
7387324481,7305
7387324482,63940
7387324483,44212
7387324484,5314
7387324485,24730
7387324486,33613
7387324487,41438
7387324488,74005
7387324489,35326
7387324490,16121
7387324491,38564
7387324492,29246
7387324493,83744
7387324494,47657
7387324495,98806
7387324496,26257
7387324497,23429
7387324498,64556
7387324499,35790
7387324500,14173
7387324501,87292
7387324502,51589
7387324503,31576
7387324504,55685
7387324505,15907
7387324506,34436
7387324507,97949
7387324508,60963
7387324509,30617
7387324510,56607
7387324511,97856
7387324512,75791
7387324513,76183
7387324514,77761
7387324515,34873
7387324516,25976
7387324517,38053
7387324518,90099
7387324519,97618
7387324520,33157
7387324521,79494
7387324522,28396
7387324523,7049
7387324524,15567
7387324525,21398
7387324526,57066
7387324527,30412
7387324528,22131
7387324529,27658
7387324530,40965
7387324531,11510
7387324532,56347
7387324533,65908
7387324534,3773
7387324535,86785
7387324536,15657
7387324537,57324
7387324538,84466
7387324539,30414
7387324540,51353
7387324541,1651
7387324542,95347
7387324543,57484
7387324544,42116
7387324545,44015
7387324546,19011
7387324547,41773
7387324548,7016
7387324549,50239
7387324550,9643
7387324551,12453
7387324552,7170
7387324553,31587
7387324554,20867
7387324555,58004
7387324556,14487
7387324557,20369
7387324558,73100
7387324559,94305
7387324560,19977
7387324561,20326
7387324562,53550
7387324563,19671
7387324564,15787
7387324565,1545
7387324566,94749
7387324567,8341
7387324568,76356
7387324569,44295
7387324570,21564
7387324571,73568
7387324572,61162
7387324573,57562
7387324574,27720
7387324575,14648
7387324576,83711
7387324577,48525
7387324578,52073
7387324579,48284
7387324580,74646
7387324581,69155
7387324582,63410
7387324583,48817
7387324584,50307
7387324585,12342
7387324586,26147
7387324587,54351
7387324588,63910
7387324589,71592
7387324590,49067
7387324591,18295
7387324592,59213
7387324593,54030
7387324594,95674
7387324595,46071
7387324596,1296
7387324597,81902
7387324598,35691
7387324599,16549
7387324600,89722
7387324601,33477
7387324602,58528
7387324603,49584
7387324604,76630
7387324605,86352
7387324606,78893
7387324607,90771
7387324608,76030
7387324609,70515
7387324610,99465
7387324611,95506
7387324612,73805
7387324613,94915
7387324614,42645
7387324615,24384
7387324616,91000
7387324617,44934
7387324618,55217
7387324619,96779
7387324620,10520
7387324621,77440
7387324622,65063
7387324623,68139
7387324624,22880
7387324625,62016
7387324626,63474
7387324627,63603
7387324628,93312
7387324629,25482
7387324630,87568
7387324631,11932
7387324632,48965
7387324633,83996
7387324634,64289
7387324635,31375
7387324636,75287
7387324637,44591
7387324638,28671
7387324639,24554
7387324640,94424
7387324641,83884
7387324642,9165
7387324643,47790
7387324644,34893
7387324645,22428
7387324646,60227
7387324647,51935
7387324648,80812
7387324649,46165
7387324650,8292
7387324651,35803
7387324652,58797
7387324653,36591
7387324654,48361
7387324655,59893
7387324656,77945
7387324657,91469
7387324658,94752
7387324659,13168
7387324660,79064
7387324661,72261
7387324662,62130
7387324663,51500
7387324664,30478
7387324665,69080
7387324666,3439
7387324667,74863
7387324668,24475
7387324669,71546
7387324670,71258
7387324671,67273
7387324672,10703
7387324673,57330
7387324674,71860
7387324675,9339
7387324676,1624
7387324677,54090
7387324678,39764
7387324679,67588
7387324680,90502
7387324681,60700
7387324682,19000
7387324683,21452
7387324684,40381
7387324685,64174
7387324686,85119
7387324687,1465
7387324688,18071
7387324689,15631
7387324690,63263
7387324691,25166
7387324692,99024
7387324693,74312
7387324694,21381
7387324695,20549
7387324696,62654
7387324697,8620
7387324698,37980
7387324699,67297
7387324700,79347
7387324701,37764
7387324702,44918
7387324703,17383
7387324704,69491
7387324705,98194
7387324706,91601
7387324707,22153
7387324708,62322
7387324709,20164
7387324710,42152
7387324711,40661
7387324712,37333
7387324713,63184
7387324714,41852
7387324715,89120
7387324716,68267
7387324717,45543
7387324718,59471
7387324719,91939
7387324720,59182
7387324721,17303
7387324722,19175
7387324723,33833
7387324724,88977
7387324725,94157
7387324726,33571
7387324727,83904
7387324728,63385
7387324729,22153
7387324730,29409
7387324731,58579
7387324732,82008
7387324733,99088
7387324734,19226
7387324735,12255
7387324736,82738
7387324737,6545
7387324738,16568
7387324739,67827
7387324740,38306
7387324741,24444
7387324742,59514
7387324743,35815
7387324744,44209
7387324745,62688
7387324746,31340
7387324747,10102
7387324748,56680
7387324749,48181
