Account_Number,Customer_Id,Account_type,Account_Status
7387323500,40794411,Checking,Active
7387323501,92950596,Checking,Active
7387323502,77804187,Savings,Active
7387323503,30386310,Checking,Active
7387323504,18360877,Checking,Active
7387323505,88529528,Savings,Active
7387323506,39208110,Savings,Active
7387323507,27504446,Savings,Active
7387323508,17490164,Savings,Active
7387323509,55121957,Checking,Active
7387323510,91661490,Checking,Active
7387323511,19899428,Savings,Active
7387323512,34635202,Checking,Active
7387323513,20625165,Checking,Inactive
7387323514,73442805,Savings,Active
7387323515,51760675,Checking,Active
7387323516,26341985,Savings,Active
7387323517,28727462,Savings,Active
7387323518,93980811,Checking,Active
7387323519,36834214,Checking,Active
7387323520,11719357,Checking,Active
7387323521,89896081,Checking,Active
7387323522,18622179,Savings,Active
7387323523,68849310,Savings,Active
7387323524,74849492,Savings,Active
7387323525,15683706,Checking,Active
7387323526,17308495,Savings,Active
7387323527,76282693,Checking,Active
7387323528,35440237,Checking,Active
7387323529,32127272,Checking,Active
7387323530,63286203,Savings,Active
7387323531,30521333,Checking,Active
7387323532,91022111,Checking,Active
7387323533,42791197,Savings,Active
7387323534,39883363,Savings,Active
7387323535,72932970,Savings,Active
7387323536,19671538,Savings,Inactive
7387323537,85231407,Savings,Active
7387323538,85960356,Savings,Active
7387323539,74472505,Savings,Active
7387323540,45596132,Checking,Active
7387323541,45330280,Checking,Active
7387323542,28390667,Savings,Active
7387323543,21184137,Savings,Active
7387323544,23263181,Checking,Active
7387323545,92776426,Savings,Active
7387323546,65807956,Savings,Active
7387323547,57281054,Savings,Active
7387323548,82829235,Savings,Active
7387323549,86925159,Checking,Active
7387323550,30278972,Checking,Active
7387323551,28788125,Checking,Active
7387323552,80764287,Savings,Active
7387323553,79501500,Checking,Active
7387323554,46015274,Savings,Inactive
7387323555,52338890,Savings,Active
7387323556,57263311,Checking,Inactive
7387323557,60124115,Savings,Active
7387323558,73927595,Savings,Inactive
7387323559,36854761,Savings,Active
7387323560,61495013,Savings,Active
7387323561,83024387,Checking,Active
7387323562,56708379,Checking,Active
7387323563,17472069,Savings,Active
7387323564,35634427,Checking,Active
7387323565,47048306,Checking,Active
7387323566,49850795,Checking,Active
7387323567,26572702,Checking,Active
7387323568,18603848,Savings,Active
7387323569,93243626,Savings,Active
7387323570,72460327,Checking,Active
7387323571,63364506,Savings,Active
7387323572,14338630,Savings,Active
7387323573,53634709,Savings,Active
7387323574,72053482,Checking,Active
7387323575,21843014,Savings,Active
7387323576,55212806,Checking,Active
7387323577,51589517,Savings,Active
7387323578,57282553,Checking,Inactive
7387323579,88202604,Savings,Active
7387323580,75891540,Checking,Active
7387323581,66051675,Checking,Inactive
7387323582,72850399,Savings,Active
7387323583,82123648,Savings,Active
7387323584,43048455,Savings,Active
7387323585,30361524,Savings,Active
7387323586,76435112,Savings,Active
7387323587,21554882,Checking,Active
7387323588,43133170,Savings,Active
7387323589,86111192,Savings,Active
7387323590,13450733,Savings,Active
7387323591,51639020,Savings,Active
7387323592,35648705,Checking,Active
7387323593,37522163,Savings,Active
7387323594,62697594,Checking,Active
7387323595,90398784,Checking,Active
7387323596,57547310,Checking,Active
7387323597,65371831,Savings,Active
7387323598,74816707,Checking,Active
7387323599,17445136,Savings,Active
7387323600,50339173,Checking,Active
7387323601,16557293,Checking,Active
7387323602,32093178,Checking,Active
7387323603,41481525,Checking,Active
7387323604,94036969,Checking,Active
7387323605,36692724,Checking,Active
7387323606,35525482,Savings,Active
7387323607,82319029,Checking,Active
7387323608,96352073,Checking,Active
7387323609,60716624,Savings,Active
7387323610,83096133,Checking,Active
7387323611,98080193,Savings,Inactive
7387323612,29564974,Checking,Active
7387323613,77089102,Checking,Active
7387323614,84586227,Checking,Active
7387323615,54041088,Checking,Active
7387323616,82813592,Savings,Active
7387323617,57697442,Savings,Active
7387323618,76557849,Checking,Active
7387323619,84604496,Checking,Active
7387323620,35237212,Checking,Inactive
7387323621,23151147,Savings,Active
7387323622,47960392,Savings,Active
7387323623,85196484,Checking,Active
7387323624,27717180,Checking,Active
7387323625,19297229,Savings,Active
7387323626,20711757,Savings,Active
7387323627,65818972,Savings,Active
7387323628,19581700,Savings,Active
7387323629,75476296,Savings,Active
7387323630,18082390,Savings,Active
7387323631,95279547,Checking,Inactive
7387323632,79686458,Savings,Active
7387323633,63316334,Savings,Active
7387323634,32389582,Checking,Active
7387323635,26194383,Savings,Active
7387323636,79025238,Savings,Active
7387323637,13925458,Savings,Active
7387323638,52514042,Savings,Active
7387323639,89158692,Savings,Active
7387323640,45772631,Checking,Active
7387323641,19726322,Checking,Active
7387323642,23333540,Savings,Active
7387323643,69829980,Checking,Active
7387323644,95102366,Savings,Inactive
7387323645,55003473,Checking,Active
7387323646,98145706,Checking,Active
7387323647,76889491,Checking,Active
7387323648,81344827,Savings,Active
7387323649,38894833,Savings,Active
7387323650,71088796,Checking,Active
7387323651,66658423,Savings,Active
7387323652,77353324,Checking,Active
7387323653,71884033,Checking,Active
7387323654,62548903,Checking,Active
7387323655,89090392,Checking,Active
7387323656,31246817,Savings,Active
7387323657,88967530,Savings,Active
7387323658,38724655,Checking,Inactive
7387323659,60548632,Savings,Inactive
7387323660,23173537,Checking,Active
7387323661,57757615,Checking,Active
7387323662,85694946,Savings,Active
7387323663,17577965,Checking,Active
7387323664,15714636,Savings,Active
7387323665,51318444,Checking,Active
7387323666,27224751,Savings,Active
7387323667,67129898,Savings,Active
7387323668,78494332,Checking,Active
7387323669,65759871,Checking,Active
7387323670,92418001,Savings,Active
7387323671,28573960,Checking,Active
7387323672,38274485,Checking,Active
7387323673,48803841,Savings,Active
7387323674,71268798,Checking,Active
7387323675,43002397,Savings,Inactive
7387323676,56518383,Savings,Active
7387323677,78672737,Checking,Active
7387323678,74629648,Checking,Active
7387323679,81261517,Savings,Active
7387323680,72962023,Checking,Active
7387323681,54067515,Checking,Active
7387323682,31266246,Savings,Active
7387323683,89904777,Savings,Active
7387323684,61829517,Checking,Active
7387323685,16024692,Savings,Inactive
7387323686,31295844,Savings,Active
7387323687,68393898,Checking,Active
7387323688,90779788,Savings,Active
7387323689,48267046,Savings,Inactive
7387323690,62471356,Checking,Active
7387323691,53224795,Savings,Active
7387323692,42221758,Checking,Active
7387323693,64129293,Savings,Active
7387323694,72129842,Savings,Active
7387323695,57020494,Savings,Active
7387323696,93889605,Savings,Active
7387323697,73616649,Savings,Active
7387323698,66515504,Savings,Active
7387323699,75123457,Checking,Active
7387323700,62430605,Savings,Active
7387323701,79002971,Checking,Active
7387323702,74331105,Checking,Active
7387323703,71537759,Savings,Active
7387323704,16558497,Checking,Active
7387323705,31015914,Checking,Active
7387323706,97754994,Checking,Active
7387323707,42541343,Savings,Active
7387323708,85436403,Checking,Active
7387323709,41007524,Checking,Active
7387323710,74721476,Savings,Inactive
7387323711,55719720,Savings,Active
7387323712,42917993,Savings,Active
7387323713,44571186,Savings,Active
7387323714,62992325,Savings,Active
7387323715,23156581,Checking,Active
7387323716,15815716,Savings,Inactive
7387323717,65036628,Checking,Active
7387323718,72665848,Checking,Active
7387323719,33448029,Savings,Active
7387323720,66179199,Checking,Active
7387323721,44893044,Checking,Active
7387323722,16098286,Checking,Inactive
7387323723,58997121,Checking,Active
7387323724,91191090,Checking,Active
7387323725,22714696,Savings,Active
7387323726,32592515,Savings,Active
7387323727,47691696,Savings,Active
7387323728,32100507,Checking,Active
7387323729,72914495,Savings,Active
7387323730,56104914,Checking,Active
7387323731,88718821,Savings,Active
7387323732,46396427,Savings,Active
7387323733,87768798,Checking,Active
7387323734,37185570,Checking,Active
7387323735,83507200,Checking,Active
7387323736,60937679,Savings,Active
7387323737,22165479,Savings,Active
7387323738,78907651,Savings,Inactive
7387323739,75921300,Checking,Active
7387323740,38294886,Checking,Active
7387323741,22015405,Savings,Active
7387323742,79977705,Checking,Active
7387323743,35706272,Savings,Active
7387323744,64931215,Savings,Active
7387323745,26865199,Savings,Active
7387323746,14694271,Checking,Active
7387323747,91352108,Checking,Active
7387323748,88037588,Checking,Active
7387323749,71801730,Savings,Active
7387323750,15624868,Checking,Active
7387323751,59694975,Checking,Active
7387323752,88538072,Checking,Active
7387323753,50457753,Checking,Active
7387323754,21828180,Checking,Active
7387323755,71223984,Savings,Active
7387323756,92469414,Savings,Active
7387323757,35711395,Savings,Active
7387323758,54727888,Savings,Inactive
7387323759,35777046,Checking,Active
7387323760,68606474,Savings,Active
7387323761,37569045,Checking,Active
7387323762,20094634,Checking,Active
7387323763,90035592,Checking,Active
7387323764,20713644,Savings,Active
7387323765,71878612,Checking,Active
7387323766,52275735,Checking,Active
7387323767,20628946,Checking,Active
7387323768,32671253,Savings,Active
7387323769,71594804,Checking,Active
7387323770,53358627,Checking,Active
7387323771,62049721,Checking,Active
7387323772,13329797,Savings,Inactive
7387323773,63425691,Checking,Active
7387323774,81436997,Checking,Active
7387323775,54677900,Savings,Active
7387323776,95201817,Savings,Active
7387323777,23513007,Savings,Inactive
7387323778,80661734,Checking,Active
7387323779,24302988,Savings,Active
7387323780,18960336,Checking,Active
7387323781,49897037,Checking,Active
7387323782,37740121,Checking,Active
7387323783,63376613,Savings,Active
7387323784,31643969,Checking,Active
7387323785,51588007,Savings,Active
7387323786,21845525,Savings,Active
7387323787,33637054,Savings,Active
7387323788,31546748,Checking,Active
7387323789,89015265,Savings,Active
7387323790,21986083,Checking,Active
7387323791,16071924,Savings,Active
7387323792,91002088,Savings,Active
7387323793,75930211,Checking,Active
7387323794,99703800,Checking,Inactive
7387323795,75631348,Checking,Active
7387323796,21961724,Checking,Active
7387323797,20118482,Checking,Inactive
7387323798,73914253,Checking,Active
7387323799,94211635,Checking,Active
7387323800,27273902,Savings,Active
7387323801,81087528,Checking,Active
7387323802,65566269,Savings,Inactive
7387323803,73852086,Checking,Active
7387323804,62351651,Savings,Active
7387323805,46549230,Checking,Inactive
7387323806,47718028,Savings,Active
7387323807,53572804,Savings,Inactive
7387323808,57798697,Checking,Active
7387323809,10034170,Checking,Inactive
7387323810,65041035,Savings,Active
7387323811,31813336,Savings,Active
7387323812,75415024,Savings,Active
7387323813,88143445,Savings,Active
7387323814,58849320,Checking,Active
7387323815,19873815,Savings,Active
7387323816,38621016,Checking,Active
7387323817,89886851,Checking,Active
7387323818,88067414,Savings,Active
7387323819,28474583,Savings,Active
7387323820,22463232,Checking,Active
7387323821,38014492,Savings,Active
7387323822,31970946,Checking,Active
7387323823,42070217,Savings,Active
7387323824,67999264,Checking,Active
7387323825,72801720,Checking,Active
7387323826,23734137,Savings,Active
7387323827,52837125,Savings,Inactive
7387323828,18993565,Savings,Active
7387323829,21248179,Savings,Active
7387323830,72697891,Checking,Active
7387323831,56021733,Savings,Active
7387323832,39825983,Checking,Active
7387323833,32052928,Savings,Inactive
7387323834,55963683,Savings,Inactive
7387323835,29414366,Checking,Active
7387323836,38235392,Savings,Active
7387323837,77623343,Savings,Active
7387323838,45084832,Checking,Active
7387323839,46119330,Checking,Active
7387323840,33182740,Checking,Active
7387323841,50921839,Savings,Active
7387323842,93414540,Checking,Inactive
7387323843,98922825,Checking,Active
7387323844,23196586,Savings,Active
7387323845,94733261,Checking,Active
7387323846,20748404,Savings,Active
7387323847,79799350,Checking,Active
7387323848,51556721,Savings,Active
7387323849,85832565,Savings,Active
7387323850,86299063,Savings,Active
7387323851,67512380,Checking,Active
7387323852,67580100,Savings,Inactive
7387323853,64339116,Savings,Active
7387323854,38221562,Savings,Active
7387323855,22069808,Checking,Active
7387323856,66499369,Savings,Active
7387323857,89179079,Checking,Active
7387323858,43296761,Checking,Active
7387323859,59194272,Checking,Inactive
7387323860,63493600,Savings,Active
7387323861,82111771,Savings,Active
